caseId,intensityMode,taskMode,method,dfMHz,PRP,chipLength,Ncoh,codeType,codeLength,nFreq,scanTimeSec,heightResolutionKm,integrationGainDb,observabilityScore,complexityCost,fixedErr
1,weak,fast,NSGA-II task-driven,0.24674699311423,0.008,1.19080212983892e-05,6,barker,13,5,0.24,1.78496748748022,18.9209460269048,0.494353287636057,0.00375,0
1,weak,fast,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
1,weak,fast,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
1,weak,fast,Manual task heuristic,0.25,0.008,2.4e-05,8,barker,13,5,0.32,3.597509496,20.1703333929878,0.583595242356272,0.005,0
2,weak,weakEs,NSGA-II task-driven,0.05,0.00722795946348935,1.2e-05,28,barker,13,21,4.25004016453174,1.798754748,25.6110138364906,0.97221527403504,0.0175,0
2,weak,weakEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,11,1.408,2.99792458,23.1806333496276,0.798616667830544,0.01,0
2,weak,weakEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
2,weak,weakEs,Manual task heuristic,0.12,0.008,1.6e-05,28,complementary,16,9,4.032,2.398339664,28.0127801399814,1,0.1675,0
3,strong,fast,NSGA-II task-driven,0.24674699311423,0.008,1.19080212983892e-05,6,barker,13,12,0.576,1.78496748748022,18.9209460269048,0.494353287636057,0.00375,0
3,strong,fast,Fixed medium,0.1,0.008,2e-05,16,barker,13,28,3.584,2.99792458,23.1806333496276,0.798616667830544,0.01,0
3,strong,fast,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
3,strong,fast,Manual task heuristic,0.25,0.008,2.4e-05,8,barker,13,12,0.768,3.597509496,20.1703333929878,0.583595242356272,0.005,0
4,strong,weakEs,NSGA-II task-driven,0.109043514949446,0.00880454502567493,1.15689644799142e-05,14,barker,13,26,3.20485438934568,1.73414414897408,22.6007138798507,0.757193848560768,0.00875,0
4,strong,weakEs,Fixed medium,0.1,0.008,2e-05,16,barker,13,28,3.584,2.99792458,23.1806333496276,0.798616667830544,0.01,0
4,strong,weakEs,Traditional wide scan,0.25,0.008,2e-05,16,barker,13,51,6.528,2.99792458,23.1806333496276,0.798616667830544,0.01,6.20329518952751
4,strong,weakEs,Manual task heuristic,0.12,0.008,1.6e-05,28,complementary,16,24,10.752,2.398339664,28.0127801399814,1,0.1675,0
